,SCHOOL NAME,CITY,COUNTY,ZIP,SCHOOL TYPE,ENROLLED,% IMMUNE MMR
935,ALHAMBRA TRADITIONAL SCHOOL,PHOENIX,MARICOPA,85017.0,PUBLIC,97,0.98
936,DESERT HORIZON ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85037.0,PUBLIC,97,0.99
937,DESERT SONORA ELEMENTARY SCHOOL,SOMERTON,YUMA,85350.0,PUBLIC,97,0.98
938,EDISON ELEMENTARY SCHOOL,MESA,MARICOPA,85203.0,PUBLIC,97,0.96
939,SANDPIPER ELEMENTARY SCHOOL,SCOTTSDALE,MARICOPA,85254.0,PUBLIC,97,0.9
940,SENITA VALLEY ELEMENTARY SCHOOL,TUCSON,PIMA,85747.0,PUBLIC,97,0.99
941,SOLANO SCHOOL,PHOENIX,MARICOPA,85015.0,PUBLIC,97,0.83
942,WEST WING SCHOOL,PEORIA,MARICOPA,85383.0,PUBLIC,97,0.89
943,ZUNI HILLS ELEMENTARY SCHOOL,PEORIA,MARICOPA,85373.0,PUBLIC,97,0.9
944,TIERRA DEL SOL ELEMENTARY SCHOOL,SOMERTON,YUMA,85350.0,PUBLIC,97,0.98
945,BRIDGES ELEMENTARY SCHOOL,GILBERT,MARICOPA,85298.0,PUBLIC,98,0.92
946,CALABASAS SCHOOL,RIO RICO,SANTA CRUZ,85648.0,PUBLIC,98,1.0
947,DESERT MEADOWS ELEMENTARY SCHOOL,LAVEEN,MARICOPA,85339.0,PUBLIC,98,0.91
948,DOROTHY STINSON SCHOOL,SAFFORD,GRAHAM,85546.0,PUBLIC,98,0.93
949,J B SUTTON ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85009.0,PUBLIC,98,0.97
950,LEADING EDGE ACADEMY - MARICOPA CAMPUS,MARICOPA,PINAL,85238.0,CHARTER,98,0.84
951,QUAIL RUN ELEMENTARY SCHOOL,TUCSON,PIMA,85742.0,PUBLIC,98,0.94
952,WEST ELEMENTARY SCHOOL,COOLIDGE,PINAL,85128.0,PUBLIC,98,0.99
953,BARBARA B ROBEY ELEMENTARY,LITCHFIELD PARK,MARICOPA,85340.0,PUBLIC,99,0.96
954,CENTENNIAL ELEMENTARY SCHOOL,GILBERT,MARICOPA,85297.0,PUBLIC,99,0.92
955,DESERT THUNDER SCHOOL,GOODYEAR,MARICOPA,85338.0,PUBLIC,99,0.93
956,KYRENE DE LA MIRADA SCHOOL,CHANDLER,MARICOPA,85226.0,PUBLIC,99,0.93
957,MARY BELLE MCCORKLE,TUCSON,PIMA,85746.0,PUBLIC,99,0.98
958,RAUL GRIJALVA ELEMENTARY SCHOOL,TUCSON,PIMA,85746.0,PUBLIC,99,0.99
959,RIGGS ELEMENTARY,GILBERT,MARICOPA,85298.0,PUBLIC,99,0.95
960,SAN TAN CHARTER SCHOOL,GILBERT,MARICOPA,85234.0,CHARTER,99,0.78
961,TERRAMAR ELEMENTARY,PEORIA,MARICOPA,85383.0,PUBLIC,99,0.96
962,TWIN PEAKS ELEMENTARY SCHOOL,TUCSON,PIMA,85743.0,PUBLIC,99,0.98
963,BORMAN ELEMENTARY SCHOOL,TUCSON,PIMA,85708.0,PUBLIC,100,0.99
964,BUTTERFIELD ELEMENTARY SCHOOL,MARICOPA,PINAL,85239.0,PUBLIC,100,0.89
965,CATALINA VENTURA SCHOOL,PHOENIX,MARICOPA,85019.0,PUBLIC,100,0.99
966,CESAR CHAVEZ ELEMENTARY,SAN LUIS,YUMA,85349.0,PUBLIC,100,1.0
967,COTTONWOOD ELEMENTARY SCHOOL,TUCSON,PIMA,,PUBLIC,100,0.96
968,GREAT HEARTS ACADEMIES - ARCHWAY CLASSICAL ACADEMY TRIVIUM WEST,GOODYEAR,MARICOPA,85395.0,CHARTER,100,0.85
969,KINGMAN ACADEMY OF LEARNING - PRIMARY,KINGMAN,MOHAVE,86409.0,CHARTER,100,0.97
970,MESQUITE ELEMENTARY SCHOOL,TUCSON,PIMA,,PUBLIC,100,0.95
971,OAKWOOD ELEMENTARY SCHOOL,PEORIA,MARICOPA,85381.0,PUBLIC,100,0.94
972,ODYSSEY PREPERATORY ACADEMY - BUCKEYE APACHE,BUCKEYE,MARICOPA,85326.0,CHARTER,100,0.97
973,REID TRADITIONAL SCHOOLS - VALLEY ACADEMY,PHOENIX,MARICOPA,85027.0,CHARTER,100,0.96
974,WILDFIRE ELEMENTARY,PHOENIX,MARICOPA,85050.0,PUBLIC,100,0.92
975,WEINBERG ELEMENTARY SCHOOL,CHANDLER,MARICOPA,85298.0,PUBLIC,100,0.87
976,ADAMS ELEMENTARY SCHOOL,MESA,MARICOPA,85202.0,PUBLIC,101,0.97
977,AMERICAN LEADERSHIP ACADEMY- GILBERT NORTH K-6 CAMPUS,GILBERT,MARICOPA,85296.0,CHARTER,101,0.89
978,BROADMOR ELEMENTARY SCHOOL,TEMPE,MARICOPA,85282.0,PUBLIC,101,0.97
